,stage,seed,fold,model,rocauc,loss,accuracy,precision,recall,f1score,iou
10,valid,42,4,LSTM,0.6554678729445947,0.6114785117762429,0.6964490263459335,0.5445481178758709,0.619494155715512,0.5213667256307606,0.40651014504162325
11,test,42,4,LSTM,0.726350554376032,0.6072393655776978,0.720108695652174,0.5912826325670362,0.6519815994338287,0.5941712438034669,0.4604150909818926
12,train,42,5,LSTM,0.7927650089927065,0.5463103272698142,0.7550713749060857,0.6051677588097983,0.7063053768661245,0.6126918215639929,0.4841653934300993
13,valid,42,5,LSTM,0.6972405573890723,0.6182274719079336,0.5996884735202492,0.5340689121176926,0.6573157315731573,0.45234752302713466,0.3373324996558212
14,test,42,5,LSTM,0.7556088207094918,0.5955089330673218,0.7690217391304348,0.6555812608444187,0.6934324065196549,0.6679934193069044,0.5304268292682927
0,train,42,1,GBM,0.0715586797850097,0.2355312147107736,0.9141566265060241,0.9277365725963858,0.7389458291109201,0.7952612788055826,0.6884289532040712
1,valid,42,1,GBM,0.20366004962779155,0.44444881246400886,0.7800963081861958,0.7115394082607197,0.6184725668596636,0.6335183968603607,0.506965555776534
2,test,42,1,GBM,0.2698948948948949,0.4110585077755132,0.8478260869565217,0.8410852713178294,0.6321321321321322,0.6645833333333333,0.5511191772534785
3,train,42,2,GBM,0.12389468358371605,0.322413060646838,0.8741496598639455,0.8881547250326932,0.7633844477309878,0.801322326125073,0.6854783825776545
4,valid,42,2,GBM,0.16260722228105476,0.311871680211876,0.868231046931408,0.6447441601779755,0.646987186275548,0.6458513945444196,0.5432218274719572
5,test,42,2,GBM,0.14738805970149255,0.27554495676352,0.8933333333333333,0.7077464788732395,0.6100746268656716,0.6376811594202898,0.5452054794520548
6,train,42,3,GBM,0.08154972752043597,0.2570512592261799,0.9250535331905781,0.9469906383606074,0.8304564032697548,0.8729873803307224,0.7838908261225193
7,valid,42,3,GBM,0.2139819384647695,0.41991201880818096,0.7794970986460348,0.6155909817881648,0.617636249081172,0.6165886026541764,0.4944763029178614
8,test,42,3,GBM,0.1881720430107527,0.3114265678568399,0.8732394366197183,0.6977611940298507,0.5949820788530467,0.6189624329159213,0.525691699604743
9,train,42,4,GBM,0.05096319436100764,0.23151926764039543,0.92496765847348,0.9317827973455846,0.8387650686851695,0.8749079261623625,0.7864699627857523
10,valid,42,4,GBM,0.26249999999999996,0.35059359168950205,0.8642297650130548,0.659717733247145,0.5921952736318408,0.6110763943133886,0.5174091141833077
11,test,42,4,GBM,0.26048387096774195,0.4809195818600786,0.8170731707317073,0.9025974025974026,0.625,0.646043165467626,0.5275974025974026
12,train,42,5,GBM,0.017096850580156284,0.1585102874273181,0.9463986599664992,0.9707495429616088,0.8048780487804879,0.8637219654168806,0.7756275917420965
13,valid,42,5,GBM,0.09023410202655485,0.30952997008620486,0.8438661710037175,0.8545931758530183,0.6180118798043326,0.6464956195244055,0.5361505681818182
14,test,42,5,GBM,0.13863636363636364,0.4905055352297538,0.7682926829268293,0.879746835443038,0.5681818181818181,0.5516546762589928,0.4479286536248562
